Filename, RCornea, LCornea, RUpEyelid, LUpEyelid, RLowEyelid, LLowEyelid
insightEBR_frame_117,4312,2786,15359,12548,6394,3389
insightEBR_frame_118,4046,3088,16615,14944,1923,0
insightEBR_frame_119,3983,2877,17001,15621,4184,2941
insightEBR_frame_120,3956,3130,15754,14236,3855,3700
insightEBR_frame_121,3852,3006,15150,16351,4825,0
insightEBR_frame_122,3514,3121,15477,16928,4003,3119
insightEBR_frame_123,3847,2232,16116,12097,5318,2263
insightEBR_frame_124,4225,2404,15059,14070,4839,2193
insightEBR_frame_125,3551,1627,15491,15735,4099,3331
insightEBR_frame_126,3480,2787,16642,18150,4375,4903
insightEBR_frame_127,3391,2921,17606,14157,4918,4835
insightEBR_frame_128,3201,2709,18418,12513,3966,0
insightEBR_frame_129,3447,2908,17173,13161,4348,1878
insightEBR_frame_130,3924,2925,16410,13764,7003,2354
insightEBR_frame_131,3314,3509,15247,15764,4956,1282
insightEBR_frame_132,3737,2796,16676,10123,6340,2444
insightEBR_frame_133,3856,3020,15565,15601,6139,0
insightEBR_frame_134,4049,3237,14897,12394,5616,0
insightEBR_frame_135,4380,0,16583,0,4912,0
insightEBR_frame_136,4290,3047,16256,17104,4510,0
insightEBR_frame_137,2809,0,16474,17763,4520,2681
insightEBR_frame_138,2727,2924,19390,10824,3494,2304
insightEBR_frame_139,3504,3180,17462,11517,3982,2795
insightEBR_frame_140,2007,2865,13435,10951,2858,0
insightEBR_frame_141,2903,0,17247,11603,3231,0
insightEBR_frame_142,3616,2918,18363,21688,0,2997
insightEBR_frame_143,2671,2352,17340,10727,0,0
insightEBR_frame_144,3195,1512,17291,10253,0,4650
insightEBR_frame_145,3216,0,17942,10697,0,5885
insightEBR_frame_146,3324,1035,18431,11414,0,5530
insightEBR_frame_147,0,1294,17218,10460,4435,4170
insightEBR_frame_148,2895,1597,18399,9542,0,6604
insightEBR_frame_149,0,0,16082,8447,0,2874
insightEBR_frame_150,0,2268,0,8071,0,1501
insightEBR_frame_151,0,2660,0,18951,2830,0
insightEBR_frame_152,4909,2947,0,9983,0,4804
insightEBR_frame_153,0,4024,0,14418,0,2510
insightEBR_frame_154,4460,4457,0,12163,5378,6315
insightEBR_frame_155,0,2550,0,7481,4898,4730
insightEBR_frame_156,3407,1686,0,9761,4038,3843
insightEBR_frame_157,0,1136,0,9908,0,3088
insightEBR_frame_158,0,2614,0,7020,0,2106
insightEBR_frame_159,3917,3809,7207,7928,3395,3164
insightEBR_frame_160,4319,3042,13427,13436,2942,3849
insightEBR_frame_161,0,3299,0,6747,0,3363
insightEBR_frame_162,0,3160,0,12081,0,2526
insightEBR_frame_163,5104,2388,14159,12453,0,3328
insightEBR_frame_164,5933,2468,32105,12746,5068,5011
insightEBR_frame_165,5124,3150,34415,12899,0,3431
insightEBR_frame_166,0,4830,0,5370,4082,4110
insightEBR_frame_167,4846,4582,0,7040,4879,4058
insightEBR_frame_168,3797,3699,10066,10000,3823,0
insightEBR_frame_169,4381,4405,12301,13474,4864,0
insightEBR_frame_170,4412,4491,0,12047,4468,0
insightEBR_frame_171,4264,3175,0,12026,4522,0
insightEBR_frame_172,3270,3413,13253,14152,4617,0
insightEBR_frame_173,0,4313,0,12927,7328,0
insightEBR_frame_174,3974,4041,0,11992,5831,0
insightEBR_frame_175,4095,4171,0,10483,5931,0
insightEBR_frame_176,4188,4304,0,10783,4181,3826
insightEBR_frame_177,4337,4334,0,12470,4540,4491
insightEBR_frame_178,4038,4183,0,11604,0,5065
insightEBR_frame_179,4652,4789,10324,12042,3889,5316
insightEBR_frame_180,4904,4915,0,12517,0,4268
insightEBR_frame_181,4686,4500,0,9445,3835,0
insightEBR_frame_182,3071,3195,13726,13698,4213,0
insightEBR_frame_183,3163,3328,14151,15851,3520,0
insightEBR_frame_184,5019,3305,13593,16119,4190,4212
insightEBR_frame_185,5195,3127,13624,15963,4109,4760
insightEBR_frame_186,5103,2882,13666,13268,0,4630
insightEBR_frame_187,3321,3472,14632,16465,4576,0
insightEBR_frame_188,5045,3007,13279,14556,0,4075
insightEBR_frame_189,3108,3169,12389,15155,3205,0
insightEBR_frame_190,5397,3053,14686,15854,0,5222
insightEBR_frame_191,5038,3027,15005,16490,0,5308
insightEBR_frame_192,3312,0,14236,16127,4255,4678
insightEBR_frame_193,3187,0,14960,14772,3871,3827
insightEBR_frame_194,5180,3563,15467,14365,3521,5225
insightEBR_frame_195,5138,3387,15557,13456,0,5440
insightEBR_frame_196,3601,0,14399,16586,3815,0
insightEBR_frame_197,3540,0,13995,16021,4238,0
insightEBR_frame_198,3599,0,13887,15207,4126,0
insightEBR_frame_199,3349,0,13083,14525,3877,0
insightEBR_frame_200,3280,0,14079,15323,3634,0
insightEBR_frame_201,3079,0,15557,14118,3344,0
insightEBR_frame_202,3049,0,14862,14838,3528,0
insightEBR_frame_203,3120,0,14995,15362,3848,0
insightEBR_frame_204,3071,0,15268,14590,3808,0
insightEBR_frame_205,3295,3439,15285,14225,3771,0
insightEBR_frame_206,3557,0,15318,15767,4019,0
insightEBR_frame_207,5393,3325,15042,14107,5204,5755
insightEBR_frame_208,4987,3501,13968,15221,0,5528
insightEBR_frame_209,4751,3327,14045,14871,5106,0
insightEBR_frame_210,3420,3537,13598,15028,4759,0
insightEBR_frame_211,4275,2897,14685,16091,0,4517
insightEBR_frame_212,4724,3190,14166,15437,4611,4084
insightEBR_frame_213,4700,3326,13749,14877,4013,0
insightEBR_frame_214,5066,3351,14257,14412,4734,0
insightEBR_frame_215,5316,3414,13792,15065,4321,4098
insightEBR_frame_216,5453,3309,13831,14586,4866,4323
insightEBR_frame_217,5318,3260,13757,13729,4345,0
insightEBR_frame_218,5110,3261,13321,14534,3505,3986
insightEBR_frame_219,4980,3255,13309,13440,3397,3224
insightEBR_frame_220,4977,3343,13776,13125,3431,0
insightEBR_frame_221,5016,3220,13727,14519,2906,0
insightEBR_frame_222,4955,3074,13209,13585,4386,4387
insightEBR_frame_223,5189,3230,13957,14506,4299,0
insightEBR_frame_224,5258,3288,13086,14416,4757,0
insightEBR_frame_225,5430,3287,13310,13891,4820,0
insightEBR_frame_226,3290,3510,13627,14275,4346,0
insightEBR_frame_227,5244,3455,13760,15096,5209,0
insightEBR_frame_228,5086,3347,14031,14613,5438,0
insightEBR_frame_229,4999,3404,14274,14332,5296,5456
insightEBR_frame_230,5086,3187,14491,14165,0,6513
insightEBR_frame_231,5032,3235,14627,13699,5840,6155
insightEBR_frame_232,4658,3263,14485,13602,0,5709
insightEBR_frame_233,4420,3173,14571,15548,5208,5495
insightEBR_frame_234,4615,3298,14531,14753,5316,5503
insightEBR_frame_235,4674,3401,14838,14278,5497,0
insightEBR_frame_236,4578,3223,14751,15474,5373,0
insightEBR_frame_237,4610,3107,13787,13982,6268,0
insightEBR_frame_238,4716,3209,12843,14265,5751,0
insightEBR_frame_239,4958,3226,12926,14584,5906,6118
insightEBR_frame_240,4855,3161,13300,14964,5691,0
insightEBR_frame_241,5373,3047,16257,14253,5996,0
insightEBR_frame_242,2972,3061,14006,17222,5599,0
insightEBR_frame_243,4671,3041,16529,14733,5661,0
insightEBR_frame_244,4980,2761,14062,14353,5539,5166
insightEBR_frame_245,4777,2719,13758,14339,5357,4854
insightEBR_frame_246,4461,2903,14137,14278,5765,4954
insightEBR_frame_247,4680,2971,13094,13797,5573,0
insightEBR_frame_248,4073,2735,14253,14159,0,5739
insightEBR_frame_249,3971,3034,14316,14412,5327,0
insightEBR_frame_250,3814,2759,14284,14385,3895,0
insightEBR_frame_251,0,3073,11766,12301,0,6533
insightEBR_frame_252,0,0,0,12366,0,3548
insightEBR_frame_253,0,0,0,13708,0,0
insightEBR_frame_254,0,0,0,12344,0,0
insightEBR_frame_255,630,0,10765,0,2301,0
insightEBR_frame_256,1474,1411,0,10873,3526,0
insightEBR_frame_257,0,3427,0,11887,0,4161
insightEBR_frame_258,4987,2064,0,8715,0,4263
insightEBR_frame_259,0,3453,0,7543,4013,0
insightEBR_frame_260,5398,3227,0,11376,4426,0
insightEBR_frame_261,4245,3004,0,9225,3513,0
insightEBR_frame_262,3614,3079,0,10486,3392,0
insightEBR_frame_263,4004,4057,0,7643,3438,0
insightEBR_frame_264,4478,3110,13186,15009,3510,0
insightEBR_frame_265,4428,3087,0,15418,0,3528
insightEBR_frame_266,0,2847,0,14877,0,6541
insightEBR_frame_267,0,0,20561,9331,1973,0
insightEBR_frame_268,0,0,17577,18410,0,0
insightEBR_frame_269,0,0,16304,21122,4389,0
insightEBR_frame_270,0,0,0,12147,0,5152
insightEBR_frame_271,0,0,0,12076,0,0
insightEBR_frame_272,0,0,13664,13287,2154,0
insightEBR_frame_273,1780,0,9393,0,2410,0
insightEBR_frame_274,0,0,0,0,2124,0
insightEBR_frame_275,2932,0,11658,18048,0,0
insightEBR_frame_276,0,1410,0,9560,0,3297
insightEBR_frame_277,1053,0,16344,13660,0,3964
insightEBR_frame_278,0,0,0,0,0,0
insightEBR_frame_279,0,0,0,21162,0,0
insightEBR_frame_280,0,0,0,0,0,0
insightEBR_frame_281,0,2661,18225,19356,0,4637
insightEBR_frame_282,0,2730,0,15953,4713,1899
insightEBR_frame_283,0,2090,0,17575,0,4224
insightEBR_frame_284,0,2739,12595,12935,4669,0
insightEBR_frame_285,0,2245,0,11077,0,4746
insightEBR_frame_286,0,2529,14286,17294,4275,0
insightEBR_frame_287,2149,1743,9346,9264,0,0
insightEBR_frame_288,2047,1007,11332,0,0,2094
insightEBR_frame_289,1094,915,11291,14299,3260,0
insightEBR_frame_290,0,0,13848,0,5374,0
insightEBR_frame_291,2012,0,11127,0,5491,0
insightEBR_frame_292,1698,0,10930,0,0,0
insightEBR_frame_293,0,0,0,0,0,0
insightEBR_frame_294,0,0,0,15029,0,0
insightEBR_frame_295,0,0,10236,13230,0,4443
insightEBR_frame_296,0,0,8367,12897,3050,5938
insightEBR_frame_297,0,0,12533,13125,0,1646
insightEBR_frame_298,0,603,14236,12642,3250,3195
insightEBR_frame_299,1556,0,13766,0,4215,0
insightEBR_frame_300,1920,1850,0,13346,3457,0
insightEBR_frame_301,1735,1492,11128,12531,2353,2682
insightEBR_frame_302,1920,1908,0,13381,3457,0
insightEBR_frame_303,0,1790,0,11851,0,3147
insightEBR_frame_304,371,0,12655,12325,3333,0
insightEBR_frame_305,0,0,13965,10931,2974,0
insightEBR_frame_306,0,0,10083,0,4382,0
insightEBR_frame_307,0,0,13507,15018,5216,0
insightEBR_frame_308,0,0,13980,15854,4057,4521
insightEBR_frame_309,0,0,11301,0,4016,0
insightEBR_frame_310,741,1106,12324,12855,0,4867
insightEBR_frame_311,0,1106,0,10755,2510,5515
insightEBR_frame_312,1437,1531,0,11837,3839,0
insightEBR_frame_313,0,2068,0,8708,6934,6967
insightEBR_frame_314,0,1893,15115,12783,7147,5355
insightEBR_frame_315,1861,1906,0,18727,5560,0
insightEBR_frame_316,2127,2142,13047,13973,3244,0
insightEBR_frame_317,2419,2086,12396,11558,3695,0
insightEBR_frame_318,2606,0,12144,13432,1913,0
insightEBR_frame_319,2172,0,11567,12234,2656,0
insightEBR_frame_320,2481,2805,13390,13889,3893,0
insightEBR_frame_321,2560,2601,0,14339,3826,3461
insightEBR_frame_322,2369,2624,0,14177,4445,4435
insightEBR_frame_323,2389,2142,13445,16340,1779,0
insightEBR_frame_324,2140,2183,0,14647,4886,0
insightEBR_frame_325,479,757,11672,13501,1065,0
insightEBR_frame_326,1409,0,0,13611,1487,0
insightEBR_frame_327,0,0,0,16507,3617,0
insightEBR_frame_328,293,1076,13200,16221,2470,0
insightEBR_frame_329,1586,0,12628,17238,3223,0
insightEBR_frame_330,1876,0,17352,12861,1913,0
insightEBR_frame_331,1832,1277,12602,14226,2146,0
insightEBR_frame_332,1995,0,11535,12496,1638,0
insightEBR_frame_333,2036,1752,12943,14347,3147,0
insightEBR_frame_334,2132,0,11812,12737,2845,0
insightEBR_frame_335,1935,2386,12854,13403,3055,0
insightEBR_frame_336,1655,1984,0,12127,3025,0
insightEBR_frame_337,1850,1921,0,14603,3249,0
insightEBR_frame_338,1994,1959,11692,13439,2826,0
insightEBR_frame_339,1857,2139,10231,12751,1794,0
insightEBR_frame_340,1918,2053,12720,15153,3485,0
insightEBR_frame_341,1981,2037,12260,14301,2991,0
insightEBR_frame_342,1394,1658,11828,12048,1803,0
insightEBR_frame_343,646,0,10028,13310,954,0
insightEBR_frame_344,650,0,9689,13385,1188,0
insightEBR_frame_345,933,1353,11711,10886,1630,0
insightEBR_frame_346,1372,1670,0,12653,1926,0
insightEBR_frame_347,1567,1930,11226,12973,4131,0
insightEBR_frame_348,1698,2055,12069,13939,4074,0
insightEBR_frame_349,1648,2230,11391,13164,1385,4920
insightEBR_frame_350,1900,2126,12979,10626,2130,0
insightEBR_frame_351,1890,2161,14739,10112,1639,0
insightEBR_frame_352,1927,2147,15306,11184,2699,0
